codigo;nombre;marca;modelo;categoria;unidad;precio_x_menor;precio_x_mayor;alerta_cantidad
10000911;MOTOROLA G9 POWER;;;23;UNIDAD;1;1;5
10000912;MOTOROLA MOTO C;;;23;UNIDAD;1;1;5
10000913;MOTOROLA MOTO Egde 20 Lite;;;23;UNIDAD;1;1;5
10000914;MOTOROLA MOTO ONE;;;23;UNIDAD;1;1;5
10000915;MOTOROLA MOTO ONE ACTION;;;23;UNIDAD;1;1;5
10000916;MOTOROLA MOTO Z PLAY;;;23;UNIDAD;1;1;5
10000917;MOTOROLA ONE FUSION;;;23;UNIDAD;1;1;5
10000918;MOTOROLA ONE MARCO;;;23;UNIDAD;1;1;5
10000919;MOTOROLA Z PLAY;;;23;UNIDAD;1;1;5
10000920;MOTOROLA Z3 PLAY;;;23;UNIDAD;1;1;5
10000921;MOTOROLA Z4 PLAY;;;23;UNIDAD;1;1;5
10000922;NOTE 10 LITE SAMSUNG;;;23;UNIDAD;1;1;5
10000923;NOTE 10 PLUS SAMSUNG;;;23;UNIDAD;1;1;5
10000924;NOTE 10 SAMSUNG;;;23;UNIDAD;1;1;5
10000925;NOTE 10 SAMSUNG;;;23;UNIDAD;1;1;5
10000926;NOTE 20 SAMSUNG;;;23;UNIDAD;1;1;5
10000928;NOTE 5 SAMSUNG;;;23;UNIDAD;1;1;5
10000929;NOTE 8 SAMSUNG;;;23;UNIDAD;1;1;5
10000930;OPPO A16;;;23;UNIDAD;1;1;5
10000931;POCO M3;;;23;UNIDAD;1;1;5
10000932;POCO M3 PRO;;;23;UNIDAD;1;1;5
10000933;POCO M4 4G;;;23;UNIDAD;1;1;5
10000934;POCO X3;;;23;UNIDAD;1;1;5
10000935;READMI 7I;;;23;UNIDAD;1;1;5
10000936;REALME C11;;;23;UNIDAD;1;1;5
10000937;REALME C35;;;23;UNIDAD;1;1;5
10000938;RENO 6 LITE;;;23;UNIDAD;1;1;5
10000939;S10;;;23;UNIDAD;1;1;5
10000940;S10 E;;;23;UNIDAD;1;1;5
10000941;S20;;;23;UNIDAD;1;1;5
10000942;S20 CON MARCO;;;23;UNIDAD;1;1;5
10000943;S20 PLUS;;;23;UNIDAD;1;1;5
